,time(sec),r,wtot
206,750.8762621616376,5.5420103848932625,3.709196315072211e-13
207,754.5212925604804,5.5469066665141575,3.7090976333022306e-13
208,758.1663229593233,5.551862685321325,3.708951457039201e-13
209,761.8113533581662,5.556812128005287,3.7087385655316484e-13
210,765.4563837570091,5.561670027041163,3.708434942911817e-13
211,769.101414155852,5.566342102144894,3.7080000717599093e-13
212,772.7464445546949,5.570704939689934,3.707394307187606e-13
213,776.3914749535378,5.574605827792019,3.706581053309045e-13
214,780.0365053523807,5.577896911649504,3.7055008572862167e-13
215,783.6815357512236,5.580419335392539,3.704097969702741e-13
216,787.3265661500665,5.582013274425566,3.7023283755638177e-13
217,790.9715965489094,5.582544690492167,3.7001565586637347e-13
218,794.6166269477523,5.581926075664747,3.6975612351391703e-13
219,798.2616573465951,5.580113406714188,3.69456372049718e-13
220,801.906687745438,5.577142291742591,3.691214104409885e-13
221,805.5517181442809,5.573149182476724,3.6875818204584544e-13
222,809.1967485431238,5.5683454270674115,3.6837784092939227e-13
223,812.8417789419667,5.563024222510537,3.679932553995398e-13
224,816.4868093408096,5.5575088221675,3.6762067495049466e-13
225,820.1318397396525,5.552132774340772,3.6727707447107455e-13
226,823.7768701384954,5.547239717943099,3.669749043794471e-13
227,827.4219005373383,5.543092264586468,3.667263822982151e-13
228,831.0669309361812,5.539893865755878,3.6653780810943953e-13
229,834.7119613350241,5.537709779746879,3.664155615968761e-13
230,838.356991733867,5.536582309428888,3.663549166421254e-13
231,842.0020221327098,5.53640084096126,3.663546648561436e-13
232,845.6470525315527,5.537040286300016,3.664065221439523e-13
233,849.2920829303956,5.5383270127030855,3.6650185912316335e-13
234,852.9371133292385,5.540061143759313,3.666326968049129e-13
235,856.5821437280814,5.542077557082461,3.6678859112809286e-13
236,860.2271741269243,5.544237470039559,3.6695935114234527e-13
237,863.8722045257672,5.546411390708752,3.671376840454639e-13
238,867.5172349246101,5.548496203607604,3.6731795804742624e-13
239,871.162265323453,5.550449379389873,3.6749301202285154e-13
240,874.8072957222959,5.552194409301556,3.676623891777198e-13
241,878.4523261211388,5.553727708318613,3.6782196615519916e-13
242,882.0973565199816,5.555045737200262,3.679699749201291e-13
243,885.7423869188245,5.5561363779569,3.6810720018836835e-13
244,889.3874173176674,5.557000263137383,3.682344524785578e-13
245,893.0324477165103,5.557688957506897,3.6834867065671475e-13
246,896.6774781153532,5.558181648345778,3.684538318023841e-13
247,900.3225085141961,5.558508398899686,3.685494400788138e-13
248,903.967538913039,5.55866953439482,3.6863773592762027e-13
249,907.6125693118819,5.558699198434391,3.6871773071206403e-13
250,911.2575997107248,5.5586272215930785,3.6878866275326214e-13
251,914.9026301095677,5.5584240832583705,3.688550457544535e-13
252,918.5476605084106,5.558111071216983,3.68916500238787e-13
253,922.1926909072534,5.557709449561075,3.689724350381068e-13
254,925.8377213060963,5.557206586250983,3.6902521801673004e-13
255,929.4827517049392,5.556606798423037,3.690754820400038e-13
256,933.1277821037821,5.555922806204729,3.6912292225787165e-13
257,936.772812502625,5.555146241090158,3.691690777030367e-13
258,940.4178429014679,5.554298230529796,3.6921263768126853e-13
259,944.0628733003108,5.553370404406215,3.692549360959986e-13
260,947.7079036991537,5.552358596651687,3.692968610104851e-13
261,951.3529340979966,5.551271277178905,3.6933805313089877e-13
262,954.9979644968395,5.550129552380341,3.6937692861054006e-13
263,958.6429948956824,5.548903962818112,3.694165917662891e-13
264,962.2880252945253,5.547615638919514,3.6945538659048784e-13
265,965.9330556933681,5.5462393608756955,3.694959737685196e-13
266,969.578086092211,5.544808846174083,3.6953550773200356e-13
267,973.2231164910539,5.543303104559952,3.6957625363665133e-13
268,976.8681468898968,5.541718004626877,3.696189047343816e-13
269,980.5131772887397,5.540083030397828,3.696610140991575e-13
270,984.1582076875826,5.538381398997906,3.6970450216907446e-13
271,987.8032380864255,5.536609017769507,3.6975012355612275e-13
272,991.4482684852684,5.5347743533003735,3.6979751393362086e-13
273,995.0932988841113,5.5328921596107055,3.6984575661302173e-13
274,998.7383292829542,5.530964580678482,3.6989515991663786e-13
275,1002.3833596817971,5.528985403274049,3.69946900043398e-13
276,1006.02839008064,5.526965183500206,3.700006362056298e-13
277,1009.6734204794828,5.524927026370854,3.7005489590722314e-13
278,1013.3184508783257,5.522877240247423,3.701098641494325e-13
279,1016.9634812771686,5.52082212669248,3.701657606483143e-13
280,1020.6085116760115,5.518770075949345,3.702226654680796e-13
281,1024.2535420748545,5.516742015731395,3.7027948778928796e-13
282,1027.8985724736974,5.514746254720099,3.703363346970551e-13
283,1031.5436028725403,5.512795314811623,3.7039289631209537e-13
284,1035.1886332713832,5.510905832262279,3.704484312098693e-13
285,1038.833663670226,5.509086095659393,3.705029151760757e-13
286,1042.478694069069,5.5073464307702835,3.7055602840848376e-13
287,1046.1237244679119,5.505696156073613,3.7060743711414014e-13
288,1049.7687548667548,5.504148696667216,3.7065627833328036e-13
289,1053.4137852655977,5.502701858546182,3.707030327197682e-13
290,1057.0588156644405,5.501361776002489,3.707472318071471e-13
291,1060.7038460632834,5.500133550443818,3.707883542296557e-13
292,1064.3488764621263,5.499014987488805,3.7082643513018986e-13
293,1067.9939068609692,5.498003909266349,3.7086138293749544e-13
294,1071.638937259812,5.497099189448931,3.7089289861034476e-13
295,1075.283967658655,5.4962929438380685,3.709212445717795e-13
296,1078.928998057498,5.495579385714946,3.709464249156201e-13
297,1082.5740284563408,5.494952225179209,3.70968457712781e-13
298,1086.2190588551837,5.494403618667033,3.70987502155389e-13
299,1089.8640892540266,5.493925998105828,3.710037068504859e-13
300,1093.5091196528695,5.493512579672959,3.7101718189437113e-13
301,1097.1541500517123,5.49315425169422,3.710283202257557e-13
302,1100.7991804505552,5.492847101660579,3.7103708982201794e-13
303,1104.4442108493981,5.492583069267989,3.7104394995120827e-13
304,1108.089241248241,5.492358639748688,3.710490288097688e-13
305,1111.734271647084,5.492169847995605,3.710526159643399e-13
306,1115.3793020459268,5.4920141586316324,3.710549898972086e-13
307,1119.0243324447697,5.491890627908055,3.7105640715710066e-13
308,1122.6693628436126,5.491799968043256,3.710570949598487e-13
309,1126.3143932424555,5.491743605736186,3.710573340464614e-13
310,1129.9594236412984,5.49172444583891,3.7105736891949087e-13
311,1133.6044540401413,5.491746463687936,3.7105742200696026e-13
312,1137.2494844389842,5.491814428490947,3.71057686638995e-13
313,1140.894514837827,5.4919336560854095,3.7105831001673365e-13
314,1144.53954523667,5.492109519466627,3.710593953602071e-13
315,1148.1845756355128,5.492346964816588,3.710610033941656e-13
316,1151.8296060343557,5.49265046800542,3.710631160627439e-13
317,1155.4746364331986,5.49302359368236,3.7106564889162823e-13
318,1159.1196668320415,5.493467180540059,3.710686086241352e-13
319,1162.7646972308844,5.493982522237835,3.710717875064335e-13
320,1166.4097276297273,5.494568836705908,3.710750230092121e-13
